id,name,desc,min_age,max_age,avg_vector,num_patients
J2A-MC-GZGS,A Study of Daily Oral Orforglipron (LY3502970) Compared With Insulin Glargine in Participants With Type 2 Diabetes and Obesity or Overweight at Increased Cardiovascular Risk (ACHIEVE-4),The main purpose of this study is to determine safety and efficacy of orforglipron compared with insulin glargine in participants with type 2 diabetes and obesity or overweight at increased cardiovascular risk.,18,500,[0.48431997895240786  -0.26147990226745604  0.385986453294754  -0.1861260324716568  -0.2323259800672531  -0.452678906917572  0.2044721871614456  -0.11919706463813781  0.07774172276258469  0.7293564438819885  -0.07826464027166366  0.9992929935455322  -0.9979528427124024  -0.6093683242797852  -0.6974425315856934  0.19395639896392822  0.8408108234405518  -0.8195487141609192  0.14101049602031707  0.35416852235794066  -0.9977080345153808  0.7830589175224304  0.7998163342475891  -0.49851593375205994  0.9425696969032288  0.7045721888542176  -0.2906840980052948  0.7377406597137451  0.9925639152526855  -0.1591316878795624  -0.6301141619682312  0.27599244713783266  0.7582655906677246  0.4600610375404358  -0.21454854011535646  0.6665459036827087  -0.2762951910495758  0.9921449542045593  0.10380911026149989  0.3749682605266571  0.8501078009605407  -0.7992540836334229  -0.28288778066635134  0.5252200961112976  0.9498124837875366  0.050025949627161025  0.9622983336448669  0.7112214684486389  0.47133890986442567  -0.32068887948989866  0.8256646633148194  -0.44024680852890014  0.1863720417022705  0.8922994375228882  -0.004830868542194366  -0.9802660703659057  0.9446621775627136  -0.7532354235649109  -0.10090367645025253  -0.6639641761779785  -0.9731633543968201  0.9580981373786926  0.9851848483085632  -0.8830454707145691  0.13330911248922347  -0.15384501367807388  0.36625999212265015  0.28695733547210694  -0.6804995894432068  0.015055374801158905  0.04379438832402229  0.24548128247261047  0.6436212658882141  0.01030786819756031  0.12134209871292115  0.2706000328063965  0.5229649543762207  -0.9730287790298462  0.9460189700126648  0.2056732475757599  0.8775206446647644  -0.17314693927764893  0.47668483257293703  -0.34107131958007814  -0.395991313457489  -0.7755413889884949  -0.1269727185368538  0.6181981086730957  -0.9449704051017761  -0.14537338614463807  0.9597627282142639  0.07893694937229156  0.6662006497383117  0.306084144115448  -0.8247003316879272  0.6279509663581848  -0.11340499371290207  0.7936869859695435  0.866789722442627  0.2724528431892395  -0.10976429730653763  -0.43606006503105166  0.1754363477230072  0.7862162590026855  -0.6848891139030456  0.15062204599380494  -0.6589707612991333  -0.5834540605545044  0.11562465727329255  0.5720540642738342  -0.10722820162773132  0.013316599279642105  0.03086194097995758  0.3156080186367035  0.22792355716228485  0.09994760602712631  0.9027652740478516  -0.9370861530303956  -0.4761095404624939  -0.23723962604999543  -0.10352056622505187  -0.9416313767433167  -0.002472253539599478  0.9681857347488403  0.7828747987747192  -0.1814509481191635  -0.9885905623435974  0.5942875027656556  -0.448886638879776  -0.7822830319404602  -0.6108433604240417  0.4554086148738861  0.2991820514202118  -0.616420316696167  -0.14453157186508178  0.7472234487533569  -0.9859287738800049  0.34454570412635804  -0.8254616379737854  -0.05437277853488922  0.22416087985038757  -0.5943450450897216  -0.5908297181129456  0.6053940296173096  0.2911163538694382  0.06303575355559587  -0.6571906685829163  0.9813179850578309  0.9227195382118225  -0.3306917011737823  0.6596990346908569  -0.3611552000045776  -0.5905233860015869  0.7675074696540832  0.6247999787330627  -0.29730684757232667  0.2829582154750824  0.11332308501005173  0.6454078078269958  0.37253891825675967  -0.9894781589508057  0.25037562251091006  -0.5726378202438355  -0.8387729525566101  -0.7595227360725403  -0.5656328558921814  -0.37318527698516846  -0.23377928137779236  -0.9844439625740051  0.41398237347602845  -0.3935437619686127  -0.7244253873825073  -0.6936651349067688  0.056994208693504335  0.36427456736564634  0.404544860124588  -0.7106165647506714  -0.8463203191757203  -0.061845021694898604  -0.3112832307815552  0.6663926362991333  0.08813573569059371  -0.3119894564151764  -0.8028278827667237  0.4318195641040802  -0.34222543239593506  0.7268764734268188  0.969971525669098  0.1881549209356308  0.12740144580602647  -0.11063312888145446  0.43989855647087095  0.967256486415863  -0.7051802754402161  -0.48570954203605654  0.6180102825164795  -0.27083058953285216  0.2765528678894043  -0.7765100598335266  0.01595521792769432  0.9524109959602356  0.9846803665161132  -0.4060336947441101  0.9953673958778382  -0.9712090492248535  0.9896699905395507  -0.6885568737983704  0.87505202293396  0.11867973208427429  0.9891267061233521  0.5925015211105347  0.5451393127441406  -0.8210347890853882  -0.49661673307418824  -0.994831919670105  -0.030414683371782304  0.7383402943611145  0.8573530077934265  0.5722094416618347  0.9804840564727784  -0.019247831031680106  -0.9950979351997375  -0.609113073348999  -0.10974912196397782  0.9581708073616028  0.3474429428577423  0.5707372069358826  -0.09349177479743957  0.7985234379768371  0.11933491826057434  0.09251056313514709  0.284581595659256  0.2292415976524353  0.9628555178642273  -0.7914728045463562  -0.04820129200816155  0.12352231591939926  -0.3535360872745514  -0.07774774730205536  -0.42021706104278567  0.8914294838905334  0.8774599194526672  0.2762603282928467  0.23292390406131744  0.9932055950164795  0.7461636900901795  -0.9964545488357544  0.2756866216659546  -0.8207871794700623  -0.9593963146209716  -0.5736018657684326  0.7741625070571899  -0.7945848226547241  -0.15303831398487092  -0.73691486120224  -0.6491390347480774],5
J3M-OX-JZQA,Study of LY3537982 in Cancer Patients With a Specific Genetic Mutation (KRAS G12C),"The purpose of this study is to find out whether the study drug, LY3537982, is safe and effective in cancer patients who have a specific genetic mutation (KRAS G12C). Patients must have already received or were not able to tolerate the standard of care, except for specific groups who have not had cancer treatment.",18,500,[0.4779683482788858  -0.2549921962476911  0.3041556252255327  -0.1585890027650056  -0.25568046899778507  -0.4420246088079044  0.2032505962110701  -0.09620611529265131  0.061351490894421226  0.7170371846074147  -0.06573500856757167  0.9992514586164838  -0.9979892380180813  -0.646112691078867  -0.8062857517174312  0.21296180518610136  0.8264110726969582  -0.8382059520199185  0.23544043550888696  0.2631697452494076  -0.9976249727464858  0.8551028001876104  0.7991541794368201  -0.5132978281804492  0.9333769870655877  0.6874757437478931  -0.2987100826132865  0.7293325272344406  0.9920163715169543  -0.17526783191022416  -0.5550936715943473  0.2642871457196417  0.7118690283525557  0.42950597405433655  -0.2754105015524796  0.6765890391100019  -0.29321151155801045  0.9929873049259186  0.06253969280355483  0.37642006150313784  0.8736471647307986  -0.7854668923786708  -0.2833018278082211  0.47464732648361296  0.9523970257668268  0.06754420977085832  0.9686555443775087  0.6960707846141998  0.4724948775200617  -0.322304898074695  0.8056763708591463  -0.456763570862157  0.18402367173915812  0.8953458730663572  -0.02422917186465513  -0.9854871737105506  0.9556588502157302  -0.7245712734404067  -0.08822782293316866  -0.6461778531471891  -0.9705943770351864  0.9478467944122496  0.9831394617046628  -0.8999143051249641  0.008377265424877853  -0.24632469706592106  0.3509712524357295  0.17686147293785498  -0.690530097910336  0.012035219662287825  0.04574981948272104  0.2348845505288669  0.728228026202747  -0.031677614833045355  0.10705097658293587  0.18380545452237126  0.5237184908418429  -0.9716681958664031  0.941226758417629  0.12667763013658778  0.9011617437714622  -0.17198572999664716  0.4180185464876039  -0.34386502312762407  -0.3835202079443705  -0.7042504251003265  -0.12442071381069365  0.6612158268690107  -0.9542017713898704  -0.2345071415461245  0.9568777006296885  0.1467378741972857  0.6657783403283074  0.30384703406265806  -0.8246371774446397  0.598363288811275  -0.10919671425861972  0.7845803903681892  0.8429171159153893  0.27228217802586996  -0.06720806592853651  -0.3624584690800735  0.23861332725556123  0.7533217249881654  -0.7201790575470242  0.1310104370294582  -0.6815713722081413  -0.5210265903955413  0.11579590734271776  0.5762707257554643  -0.09060113602096125  0.011650018655927848  0.03686544963801723  0.3053703198120707  0.21382475378257887  0.07818449869574538  0.8966485453503472  -0.9364835101933706  -0.5644059990133559  -0.19661862278978026  -0.10590312775734458  -0.9264419830980755  -0.020914836940175437  0.9732152571280798  0.7844559514806384  -0.18641210063582378  -0.9895863000835691  0.6219553961640314  -0.44489348537865137  -0.8548228251082557  -0.6035749798729307  0.4410380419521105  0.30577007148947033  -0.7168329805135727  -0.13957005428771183  0.7163377993163609  -0.9853928174291339  0.2889733332253637  -0.8244743318784804  -0.04317940050913466  0.3206482476421765  -0.6011602828900019  -0.6187571585178373  0.7330225989932104  0.16126264054660816  0.10876402133449335  -0.6692873395624617  0.9819327940543493  0.9094472115948087  -0.3697870022484236  0.7227032972233636  -0.3115096979198002  -0.6474542071421939  0.7384471048911411  0.7149180138394945  -0.3026772553012484  0.21363150541271483  0.12447927776901499  0.759447739237831  0.375313316427526  -0.9869035326299214  0.23327519788983322  -0.5614451570879846  -0.8628415011224293  -0.7520623398678643  -0.5518336303177334  -0.37069319791737054  -0.2611398785596801  -0.9834340179250354  0.40111957845233737  -0.42137537541843595  -0.7345414076532636  -0.6959341381277356  0.0649935585845794  0.37983612574282144  0.40632493297259004  -0.6765472555444353  -0.7942522998367038  -0.06555123667099648  -0.31858503641117186  0.6964713235696158  0.08744951306531827  -0.31812007512365065  -0.8564208249251046  0.4584468819555782  -0.20550624041685037  0.729139586999303  0.9659285339571181  0.18762684471550442  0.15267682678642727  -0.13045620536875155  0.48894391599155607  0.9711248803706396  -0.7369299360683987  -0.46039954608394984  0.6610876350175767  -0.2701731801387809  0.28807181013481964  -0.7975011993022195  0.027620273287452403  0.9354222963253657  0.9860728120520001  -0.4137552809857187  0.9944458376793635  -0.964603793762979  0.9870557160604567  -0.6950898830379758  0.8561325186774844  0.07649577792506623  0.9877856969833374  0.5422351654796375  0.567267474674043  -0.7832114668119521  -0.5170485512131738  -0.9953895778883071  -0.05947062856562081  0.7585593263308209  0.8768359053702581  0.5685197072369713  0.9833828998463494  -0.01037880175724803  -0.9953359684773854  -0.5287595834760436  -0.09642219020142442  0.9678250700235367  0.32931650625098313  0.5263821369125732  -0.08180199718723695  0.8412138613916579  0.11478179817398389  0.028253028578460328  0.30050008761740865  0.2135195807509479  0.9578233730225336  -0.7417584565423784  -0.061265030033176834  0.062070531374220514  -0.3798210415102188  -0.06999964595195793  -0.39982154078426807  0.8862414934805461  0.8493435482184092  0.23215892467470395  0.2512306838872886  0.993040551741918  0.7664927634454909  -0.9957783491838545  0.2852344463268916  -0.851092571303958  -0.958683987458547  -0.5695544708342781  0.7589411955504192  -0.7726186677103951  -0.15341036660330634  -0.7687683325438273  -0.6907860416741598],84
I3Y-MC-JPCS,"A Study of Abemaciclib (LY2835219) in Combination With Other Anti-Cancer Treatments in Children and Young Adult Participants With Solid Tumors, Including Neuroblastoma",The study's purpose is to see if the drug abemaciclib is safe and effective in combination with temozolomide and irinotecan (Part A) and abemaciclib in combination with temozolomide (Part B) in pediatric and young adult participants with relapsed/refractory solid tumors.,-1,21,[0.45604517654730725  -0.2567220178361122  0.33433638226527435  -0.18092101310881284  -0.24527325423864219  -0.43077815496004546  0.2078672188978929  -0.11207028062870869  0.07138585234777284  0.7272345675871923  -0.07479928111514218  0.9992875915307265  -0.9980758245174701  -0.6092391002636688  -0.7532104093294877  0.20376278574650103  0.8291479326211489  -0.8259143634484365  0.16936167042988998  0.2966015960734624  -0.9976835182079902  0.8202258829887097  0.7908562456186001  -0.5254303153890828  0.9380267869967681  0.7002215511523759  -0.2867536498950079  0.7336964721863086  0.9923100746594943  -0.16862860436622912  -0.6040547364033187  0.27261237800121313  0.7378494395659521  0.4223487147918114  -0.2746887049422814  0.6587636493719541  -0.280576975299762  0.9930046384151165  0.10319072602746579  0.36640452994750095  0.8556588280659455  -0.803620919585228  -0.2788506872378862  0.5142492090280238  0.9498391632850354  0.050660945618381865  0.9670168711588933  0.7030548625267469  0.47152504611473817  -0.32393114612652707  0.8132114891822522  -0.47038822907667893  0.17839068260330423  0.8984796565312606  -0.019615194030428457  -0.9835609048604965  0.9526260586885306  -0.721783019029177  -0.09145222919491619  -0.6660272582219199  -0.9720764045531933  0.9545057037701974  0.9841525875605069  -0.8953901666861314  0.10989513391485581  -0.1974047921024836  0.35294077831965226  0.26099128018204987  -0.6794247730420186  0.01276012671027834  0.04416844384888044  0.23056350075281584  0.6775716497347907  0.005672048585928189  0.09213557916406828  0.22053634547270262  0.5249310365090005  -0.9728371088321393  0.946765334560321  0.1731016356498003  0.887261335666363  -0.17469176736015538  0.44282972239531004  -0.34379380769454515  -0.38349750294135165  -0.7563609698644052  -0.11890030594972464  0.6557403585085501  -0.9491753669885489  -0.1968099560875159  0.9592023617946185  0.11117288978913656  0.6439201063834706  0.30951028317213064  -0.8264800722782428  0.5948618891147466  -0.11673118847493942  0.7903185681654856  0.8674419705684369  0.27005136729433  -0.1112067079028258  -0.4175057972853  0.18460616483711276  0.7678614854812622  -0.7151277844722456  0.1473145215557172  -0.6813533042485899  -0.5778031051158907  0.10725326936405438  0.57128026164495  -0.09556500226832355  0.003703018904511387  0.026491328414592247  0.3050650954246522  0.2258113814661136  0.09449338010297371  0.8973026745594465  -0.9389829727319571  -0.5372082350345757  -0.21965222891706687  -0.09342157878339866  -0.9338607581762167  -0.004334669111323399  0.971400668987861  0.785293059853407  -0.18650864322598165  -0.9891558988736227  0.5993168892768714  -0.44703327864408493  -0.8193997832444998  -0.6054881799679537  0.4436560863485703  0.3066375863093597  -0.6651586099312856  -0.15751055484780901  0.7270245781311624  -0.9855796007009653  0.30781422612758774  -0.8269125544107877  -0.047289771457704216  0.25204809325245703  -0.598518906877591  -0.5843718968904935  0.6698280572891235  0.2548015289581739  0.0990336119049551  -0.6722786816266868  0.9828000779335315  0.9168794418756778  -0.37716250637402904  0.7004441446982899  -0.3317839388663951  -0.6319783387275842  0.7545683257854902  0.6662326157093049  -0.2997442346352797  0.24934231833769724  0.1142708295239852  0.7022639398391431  0.38420545424406344  -0.9888473290663499  0.24747362073797446  -0.5338237428894408  -0.8545444114850118  -0.7660167045318164  -0.5538540998330486  -0.370605037189447  -0.23047348111867905  -0.9835786876770166  0.4082125603006436  -0.43666035051529223  -0.7034272230588473  -0.7022448354042493  0.05818902092197767  0.3726738880460079  0.4015474726374333  -0.695091554751763  -0.8314717136896573  -0.061077467953929536  -0.32135853572533696  0.6710700679283877  0.08532373951031612  -0.31372790267834294  -0.8335029459916629  0.4628745432083423  -0.2898656751673955  0.7310491559597162  0.9678049408472501  0.18994734837458685  0.14854070852295714  -0.11072942671867517  0.485643418935629  0.9681724447470444  -0.7337038608697745  -0.4671220825268672  0.6526260524988176  -0.26166855285947144  0.28274807735131335  -0.773091217646232  0.021825993617172714  0.9455862870583167  0.9851721479342535  -0.41868585921250856  0.9951813324139669  -0.9674804336749591  0.9889927472059543  -0.7049361983170876  0.8611099536602314  0.08325340416139135  0.9884209575561377  0.5589341578575284  0.5645176510398203  -0.7892856804224161  -0.5261015914953671  -0.9953000178703895  -0.046597032664487  0.7589779152319982  0.8680984859283154  0.5955111991900665  0.9821441952998822  -0.02300131611767798  -0.9951026840851858  -0.5814349605486944  -0.10368115469240226  0.9639932673711044  0.3925474715920595  0.5597575335548473  -0.08476597471879078  0.8287436457780691  0.12120591533871797  0.04882819124087781  0.30338676760976124  0.2526793777942657  0.9607402590604929  -0.7696665021089407  -0.05075533129274845  0.12595210833331716  -0.3613935508407079  -0.0702273200194423  -0.40565140258807403  0.8893062071158335  0.869569371526058  0.251819297957879  0.24635129507917625  0.9930125039357406  0.7606562891831766  -0.9960894045921472  0.28112309598005725  -0.8422229954829583  -0.9581776891763394  -0.5719648267214114  0.7771252600046304  -0.7875105967888465  -0.15024163230107382  -0.7462962487569222  -0.6576138482644007],52
J3E-MC-EZDB,A Study of LY3540378 in Participants With Worsening Chronic Heart Failure With Preserved Ejection Fraction (HFpEF),The main purpose of this study is to assess the efficacy and safety of LY3540378 in adults with worsening heart failure with preserved ejection fraction.,18,500,[0.500287322437062  -0.25739807153449357  0.32238877849543796  -0.15096692538217582  -0.25187610988231257  -0.4734695255756378  0.21023933699025826  -0.10712904263945187  0.053833380341529846  0.738358257447972  -0.06785004246322547  0.9992249800878412  -0.99797563430141  -0.6246355885968489  -0.6419417884419947  0.2058804918299703  0.8297185135238311  -0.833357135162634  0.23012993440908544  0.3493117825949893  -0.9975159422439688  0.7387933012317208  0.7927159956272911  -0.5206631439573625  0.936711015070186  0.7161556403426563  -0.2904536649584769  0.7303270969320746  0.9921548200004241  -0.17316610322279083  -0.5985375528826433  0.264955556129708  0.7263404402662726  0.4478077629909796  -0.24942994906621832  0.664011133944287  -0.29231036103823616  0.9920952127260321  0.0484197903321782  0.37485678318668814  0.8463589654249304  -0.7913778038585887  -0.2787308223983821  0.5309953356490416  0.951526115045828  0.06268663835876126  0.9631410582977182  0.6978059446110445  0.4752816676216967  -0.3236887161346042  0.830007014905705  -0.3910570280516849  0.18673746068688  0.8760282362208647  -0.016090353607604115  -0.9841392566176022  0.9556475562207839  -0.7404951689874425  -0.08919901795247022  -0.6635264964664686  -0.972044256680152  0.9454096310278949  0.9842645517166924  -0.9056373396340538  0.06311304087456152  -0.1336010236512213  0.34828924124731736  0.16056925481568804  -0.6877421342274721  0.003651642543178134  0.048499823493116045  0.23980987729395137  0.6594599511693505  0.0019067702609497823  0.13293802875148902  0.20664830692112446  0.5548605831230389  -0.9732832891099593  0.940402007278274  0.12758687163210095  0.8601600571590311  -0.17813834723304295  0.4990620131001754  -0.3460722429787411  -0.37911628887933846  -0.7445001654765185  -0.11923201721819009  0.6508338135831496  -0.9458261614336687  -0.19749841356978698  0.9565621377790675  0.13575688218150067  0.6824519870912328  0.30689216405153275  -0.8323721473707872  0.591652667697738  -0.11862833370618961  0.77840596612762  0.8468071274897632  0.26579002247137185  -0.08213672582197058  -0.3540992033393943  0.2604290514307864  0.7374464212095037  -0.7163304581361658  0.13884422654176456  -0.6058186735300455  -0.5627591522300942  0.11382822188384392  0.5791741127476973  -0.09164203692446737  0.01264039846821962  0.03243392853833297  0.29561800860306797  0.21587056184516235  0.08699011791716604  0.8984577647026848  -0.9308405536062577  -0.5008037660051795  -0.20628660522839604  -0.1346035873618401  -0.9244443651507882  -0.017562919857856983  0.9727767153697855  0.7969380459364723  -0.18699241955490672  -0.988903093863936  0.6368099407238119  -0.4499153310761732  -0.7376492531860576  -0.6031552334042156  0.4400320250321837  0.30735306792399464  -0.5574929074329489  -0.12327936488915892  0.7250306711477392  -0.985169842839241  0.30305756321724725  -0.8197996011551689  -0.04550146827857722  0.32101749475387964  -0.5987011948052574  -0.5611418893232064  0.5306592496002421  0.23370462064357364  0.042693428241524514  -0.6305513767635123  0.9810228540616877  0.9147238477187998  -0.3552517676178146  0.599130726474173  -0.31070822915610147  -0.52517360667972  0.7767371544066597  0.5775807907476143  -0.2999841548940715  0.26590408538194266  0.12354579293990833  0.5804443376905776  0.3923574039602981  -0.9866451436982435  0.18874963838607067  -0.5652395583250945  -0.8484990333809572  -0.7496484123608643  -0.582541023107136  -0.36866858031819855  -0.2589872021447209  -0.9833323324427885  0.40671676309669713  -0.44083213192575116  -0.7044465515543434  -0.697981479413369  0.06058515756226638  0.381247626069714  0.4094415456056595  -0.69953070843921  -0.7930327233146218  -0.06593940609737357  -0.3205410601461635  0.7034337950103423  0.09386189292897196  -0.3164161658462356  -0.7627194909488454  0.3550844216609702  -0.21028728481820402  0.7217207200386945  0.9656851151410271  0.19112624775837445  0.14507485865889222  -0.12780401307870362  0.39569322151296277  0.9693290328278261  -0.7017883079893449  -0.468007970820455  0.5444762027438947  -0.2761049838188817  0.2868984196992481  -0.7929846740820828  0.031200109628330478  0.9315131394302144  0.9838029926314074  -0.41210225881899104  0.9948099632473553  -0.968242050093763  0.9877000722815009  -0.6793000294881706  0.871393628856715  0.05143580147791106  0.9881403893232346  0.5350286741467083  0.5878659289549377  -0.7956864009885227  -0.5298353306510869  -0.9941337599473841  -0.060713588917518366  0.7052771317608217  0.883910118657  0.57857005824061  0.9787716436035493  -0.011469079895451775  -0.9946489202625611  -0.5605211358736542  -0.10824557996409781  0.9601219436701607  0.35344093862701864  0.5142762078081861  -0.0838630207649925  0.8196906675310696  0.11833477568100481  0.03636767396956737  0.274163266972584  0.24651312203530004  0.9602933604927624  -0.7630352474310819  -0.05299123968271648  0.09451042070834183  -0.375669402672964  -0.06282572902958183  -0.4072352994014235  0.8905329800703946  0.8505462644731296  0.25861388094284965  0.25615443552241607  0.9927423938232309  0.7453707929919747  -0.9957448121379403  0.27889840239111113  -0.844802670619067  -0.9540756283437505  -0.5764760909711616  0.7585542096811182  -0.7814667663153481  -0.1528087508152513  -0.7507995577419505  -0.653334163567599],68
